kew_internal_concept_db,kew_internal_concept_id,kingdom,phylum,h_class,h_order,family,genus,species,infraspecific_type,infraspecific_description,author,taxonomic_status,med_ref_count,med_ref_count_for_synonyms,confidence_level,unii,kew_internal_species_concept_identifier,kew_internal_name_identifier
wcs,110759,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Lepechinia,calycina,,,(Benth.) Epling,Accepted,1,0,H,,,449252-1
wcs,110763,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Lepechinia,caulescens,,,(Ortega) Epling,Accepted,1,1,H,,,137865-2
wcs,110788,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Lepechinia,meyenii,,,(Walp.) Epling,Accepted,1,0,H,,,
wcs,110797,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Lepechinia,salviae,,,(Lindl.) Epling,Accepted,1,0,H,,,449285-1
wcs,110809,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Lepechinia,vesiculosa,,,(Benth.) Epling,Accepted,1,0,H,,,
wcs,110892,Plantae,Angiospermae,Eudicots,Gentianales,Rubiaceae,Leptactina,densiflora,,,Hook.f.,Accepted,3,0,H,,,755237-1
wcs,111068,Plantae,Angiospermae,Eudicots,Malpighiales,Phyllanthaceae,Leptopus,cordifolius,,,Decne.,Accepted,0,1,H,,,
wcs,111420,Plantae,Angiospermae,Eudicots,Myrtales,Myrtaceae,Leptospermum,petersonii,,,F.M.Bailey,Accepted,2,0,H,80ZVF400SD,,597478-1
wcs,111438,Plantae,Angiospermae,Eudicots,Myrtales,Myrtaceae,Leptospermum,polygalifolium,subsp.,polygalifolium,,Accepted,0,1,H,,111429,
wcs,111473,Plantae,Angiospermae,Eudicots,Myrtales,Myrtaceae,Leptospermum,scoparium,,,J.R.Forst. & G.Forst.,Accepted,1,0,H,H91OP27WW5,,597506-1
wcs,111602,Plantae,Angiospermae,Eudicots,Ericales,Sapotaceae,Letestua,durissima,,,(A.Chev.) Lecomte,Accepted,1,0,H,,,787214-1
wcs,111632,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leucas,aspera,,,(Willd.) Link,Accepted,2,0,H,,,449314-1
wcs,111645,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leucas,calostachys,,,Oliv.,Accepted,1,0,H,,,449327-1
wcs,111651,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leucas,capensis,,,(Benth.) Engl.,Accepted,1,1,H,,,
wcs,111655,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leucas,cephalotes,,,(Roth) Spreng.,Accepted,2,0,H,,,449332-1
wcs,111674,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leucas,decemdentata,var.,decemdentata,,Accepted,0,1,H,,111672,
wcs,111761,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leucas,lavandulifolia,,,Sm.,Accepted,2,0,H,,,449408-1
wcs,111778,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leucas,martinicensis,,,(Jacq.) R.Br.,Accepted,4,0,H,,,941331-1
wcs,111854,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leucas,pechuelii,,,(Kuntze) Baker,Accepted,1,0,H,,,
